Name,Species,Tank,Initial_color,Dur_white,Dur_black,Top-B,Side-B,Bot-B,Cen-B,Top-W,Side-W,Bot-W,Cen-W
Ashley,P. formosa,A,Black,174.5,431.9,16,16,11,17,10,10,9,7
Ashley,P. formosa,B,Black,221.9,381.2,11,16,21,23,8,15,16,14
Chloe,P. formosa,A,White,188.1,411.5,12,16,21,23,8,10,12,9
Chloe,P. formosa,B,Black,190.8,422.9,17,12,16,18,11,9,10,12
Tory,P. formosa,A,Black,195.8,405.4,30,27,25,29,21,19,11,21
Tory,P. formosa,B,White,221.4,372,18,19,33,32,7,13,29,18
Aria,P. formosa,A,Black,174.5,434,14,17,19,11,11,14,12,14
Aria,P. formosa,B,Black,119,497,19,20,17,10,10,8,10,3
Sofia,P. formosa,A,Black,187.5,421.9,18,14,11,17,9,7,2,6
Sofia,P. formosa,B,Black,248,347.5,10,11,14,11,6,9,11,7
Amy,P. formosa,A,Black,342.8,258.1,14,7,11,16,11,14,13,12
Amy,P. formosa,B,Black,150.2,451.3,14,16,22,18,5,10,16,6
Meagan,P. formosa,A,Black,214.9,411.2,11,18,19,20,10,12,10,12
Meagan,P. formosa,B,Black,143.2,463.8,8,8,11,17,2,6,7,7
Olivia,P. formosa,A,Black,496.7,103.2,7,6,7,8,6,19,18,9
Olivia,P. formosa,B,Black,377.8,225.8,16,14,12,11,19,18,14,14
Lucy,P. formosa,A,Black,233.4,371.7,13,13,16,11,10,11,10,4
Lucy,P. formosa,B,White,346.5,255.3,9,12,16,13,7,18,19,15
Luna,P. formosa,A,Black,231.8,370.4,10,14,17,6,6,12,15,7
Luna,P. formosa,B,White,175,437,14,17,17,14,12,8,7,7
Finley,P. latipinna,A,Black,230.8,368.7,13,16,18,19,10,13,12,6
Finley,P. latipinna,B,White,71.5,534.2,9,8,12,19,4,2,1,2
Tilly,P. latipinna,A,Black,92.4,518,7,10,9,19,2,4,4,10
Tilly,P. latipinna,B,Black,0,599.9,1,8,4,11,0,0,0,0
